,date,open,high,low,close,volume,vwap,Date_Time
607.0,2013-09-11 14:25:29.431,1685.5,1685.75,1684.5,1685.0,20173.0,1685.0709611857433,2013-09-11 14:25:29.431
608.0,2013-09-11 14:36:21.046,1685.0,1685.5,1684.25,1685.0,23488.0,1684.8598326805177,2013-09-11 14:36:21.046
609.0,2013-09-11 14:45:14.159,1685.0,1686.0,1684.75,1685.75,24081.0,1685.2954922968315,2013-09-11 14:45:14.159
610.0,2013-09-11 14:52:09.284,1685.75,1685.75,1684.5,1685.25,23106.0,1685.2157448281832,2013-09-11 14:52:09.284
611.0,2013-09-11 14:58:29.828,1685.25,1687.0,1684.75,1686.75,21133.0,1686.027090332655,2013-09-11 14:58:29.828
612.0,2013-09-11 15:00:00.039,1686.75,1688.5,1686.75,1688.25,33013.0,1687.624912913095,2013-09-11 15:00:00.039
613.0,2013-09-11 15:05:23.796,1688.25,1688.5,1687.5,1688.25,40429.0,1688.1092656261594,2013-09-11 15:05:23.796
614.0,2013-09-11 16:00:11.196,1688.25,1690.0,1688.0,1689.75,31297.0,1688.663466146915,2013-09-11 16:00:11.196
615.0,2013-09-11 19:58:18.300,1689.75,1690.5,1687.75,1688.0,19473.0,1689.1006778616545,2013-09-11 19:58:18.300
616.0,2013-09-11 22:59:59.039,1687.75,1690.0,1687.25,1688.5,14917.0,1688.215190721995,2013-09-11 22:59:59.039
617.0,2013-09-12 02:09:58.519,1688.5,1688.75,1686.75,1687.0,14447.0,1687.6382120855542,2013-09-12 02:09:58.519
618.0,2013-09-12 03:11:10.229,1687.0,1688.25,1687.0,1687.75,13280.0,1687.6916792168674,2013-09-12 03:11:10.229
619.0,2013-09-12 04:22:15.746,1687.75,1687.75,1686.0,1686.0,16940.0,1686.8381198347108,2013-09-12 04:22:15.746
620.0,2013-09-12 05:19:20.031,1686.0,1687.0,1685.25,1686.0,15579.0,1685.9968065986263,2013-09-12 05:19:20.031
621.0,2013-09-12 06:29:16.870,1686.0,1687.75,1686.0,1687.25,16482.0,1687.1739473364883,2013-09-12 06:29:16.870
622.0,2013-09-12 07:02:47.406,1687.25,1689.5,1687.0,1689.25,18256.0,1688.2647074934268,2013-09-12 07:02:47.406
623.0,2013-09-12 07:32:41.380,1689.25,1689.5,1687.0,1688.5,17301.0,1688.17194092827,2013-09-12 07:32:41.380
624.0,2013-09-12 08:02:38.835,1688.5,1689.0,1687.25,1688.25,13680.0,1688.2527229532163,2013-09-12 08:02:38.835
625.0,2013-09-12 08:30:01.431,1688.25,1688.25,1687.0,1688.0,16560.0,1687.7434631642511,2013-09-12 08:30:01.431
626.0,2013-09-12 08:32:30.181,1688.0,1689.0,1687.25,1687.5,20404.0,1688.0844197216231,2013-09-12 08:32:30.181
627.0,2013-09-12 08:36:21.785,1687.5,1688.25,1686.75,1687.0,14859.0,1687.4879870785383,2013-09-12 08:36:21.785
628.0,2013-09-12 08:38:31.798,1687.0,1687.25,1686.0,1686.25,16292.0,1686.4340320402653,2013-09-12 08:38:31.798
629.0,2013-09-12 08:41:07.693,1686.25,1686.75,1685.25,1685.5,18129.0,1686.0046058800817,2013-09-12 08:41:07.693
